Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ADT calibration suite,Firefox 66.0,ADT calibration suite,2019-04-15 10:44:38,2019-04-15 10:44:54,"15,941s",FAILED
,,,,,,
Test Cases/Logo Seguros,Firefox 66.0,,2019-04-15 10:44:38,2019-04-15 10:44:52,"14,193s",FAILED
"openBrowser("""")",Firefox 66.0,,2019-04-15 10:44:39,2019-04-15 10:44:44,"5,895s",PASSED
"navigateToUrl(""https://www.logo.pt/"")",Firefox 66.0,,2019-04-15 10:44:44,2019-04-15 10:44:47,"2,267s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_Seguro Automvel Casa e Sade - Seguros LOGO/div_SIMULAR""))",Firefox 66.0,,2019-04-15 10:44:47,2019-04-15 10:44:47,"0,451s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_Seguro Automvel Casa e Sade - Seguros LOGO/span_SADE""))",Firefox 66.0,,2019-04-15 10:44:47,2019-04-15 10:44:49,"1,931s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/a_""))",Firefox 66.0,,2019-04-15 10:44:49,2019-04-15 10:44:50,"0,537s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/input__beannestedcontratopessoasSeguras0sexo""))",Firefox 66.0,,2019-04-15 10:44:50,2019-04-15 10:44:50,"0,282s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/input_Masculino_beannestedcontratopessoasSeguras1sexo""))",Firefox 66.0,,2019-04-15 10:44:50,2019-04-15 10:44:50,"0,266s",PASSED
"setText(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/input__beannestedcontratopessoasSeguras0idade""), ""40"")",Firefox 66.0,,2019-04-15 10:44:50,2019-04-15 10:44:50,"0,084s",PASSED
"setText(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/input__beannestedcontratopessoasSeguras1idade""), ""18"")",Firefox 66.0,,2019-04-15 10:44:50,2019-04-15 10:44:50,"0,093s",PASSED
"click(findTestObject(""Object Repository/Logo Repository/Page_LOGO SADE/input_Indique o parentesco de cada Pessoa Segura com o Tomador de Seguro_continuar""))",Firefox 66.0,,2019-04-15 10:44:50,2019-04-15 10:44:52,"1,569s",PASSED
"setText(findTestObject(""Page_LOGO SADE/input__beancontratotomadorSeguronome""), ""Rui Ramalho"")",Firefox 66.0,,2019-04-15 10:44:52,2019-04-15 10:44:52,"0,180s",FAILED
